Current,Voltage,Ah Out,Cumulative Actual Disch Ah,Power,Remaining Capacity,Time to Depletion,type,capacity,charged,prediction
9.95,11.74,0.1658333333333333,3.1904999999999997,116.813,23.8095,8614.492462311558,b2,88.81,27.0,[8614.15496789]
9.94,11.73,0.1656666666666666,3.3561666666666663,116.5962,23.643833333333333,8563.158953722335,b2,88.81,27.0,[8572.88814357]
9.94,11.72,0.1656666666666666,3.521833333333333,116.4968,23.478166666666667,8503.158953722334,b2,88.81,27.0,[8543.43574057]
9.94,11.72,0.1656666666666666,3.6875,116.4968,23.3125,8443.158953722334,b2,88.81,27.0,[8486.47747214]
10.12,11.7,0.1686666666666666,3.8561666666666663,118.40399999999998,23.143833333333333,8232.984189723322,b2,88.81,27.0,[8262.22983096]
12.16,11.65,0.2026666666666666,4.058833333333333,141.66400000000002,22.941166666666668,6791.792763157894,b2,88.81,27.0,[7154.49756077]
12.15,11.65,0.2025,4.261333333333333,141.5475,22.738666666666667,6737.382716049382,b2,88.81,27.0,[6924.82534159]
12.16,11.64,0.2026666666666666,4.4639999999999995,141.5424,22.536,6671.842105263158,b2,88.81,27.0,[6819.53398355]
12.14,11.63,0.2023333333333333,4.666333333333333,141.18820000000002,22.333666666666662,6622.833607907743,b2,88.81,27.0,[6786.07624368]
12.14,11.62,0.2023333333333333,4.868666666666667,141.0668,22.131333333333338,6562.833607907743,b2,88.81,27.0,[6742.76852802]
9.86,11.67,0.1643333333333333,5.033,115.0662,21.967,8020.405679513185,b2,88.81,27.0,[7945.15574809]
9.86,11.67,0.1643333333333333,5.197333333333334,115.0662,21.802666666666667,7960.4056795131855,b2,88.81,27.0,[7996.38170852]
9.85,11.66,0.1641666666666666,5.3615,114.851,21.6385,7908.487309644671,b2,88.81,27.0,[8008.80068832]
9.86,11.66,0.1643333333333333,5.525833333333334,114.9676,21.474166666666665,7840.466531440163,b2,88.81,27.0,[8005.55263768]
9.86,12.66,0.1643333333333333,5.690166666666667,124.8276,21.309833333333337,7780.466531440162,b2,88.81,27.0,[11791.48082181]
9.85,11.65,0.1641666666666666,5.854333333333334,114.7525,21.145666666666667,7728.365482233502,b2,88.81,27.0,[7882.4272479]
7.35,11.71,0.1225,5.976833333333333,86.0685,21.02316666666667,10297.061224489798,b2,88.81,27.0,[10108.5809724]
7.34,11.71,0.1223333333333333,6.099166666666667,85.9514,20.90083333333333,10251.08991825613,b2,88.81,27.0,[10183.98404874]
7.34,11.71,0.1223333333333333,6.221500000000001,85.9514,20.7785,10191.089918256132,b2,88.81,27.0,[10172.00348482]
7.34,11.7,0.1223333333333333,6.343833333333334,85.878,20.656166666666664,10131.08991825613,b2,88.81,27.0,[10150.19554987]
6.42,11.73,0.107,6.4508333333333345,75.3066,20.549166666666665,11522.89719626168,b2,88.81,27.0,[11607.48103166]
6.42,11.72,0.107,6.557833333333335,75.2424,20.442166666666665,11462.89719626168,b2,88.81,27.0,[11476.43894561]
8.97,11.65,0.1495,6.7073333333333345,104.50050000000002,20.292666666666666,8144.214046822741,b2,88.81,27.0,[8377.5675484]
6.75,11.71,0.1125,6.819833333333334,79.0425,20.180166666666665,10762.755555555554,b2,88.81,27.0,[10893.39530604]
6.74,11.71,0.1123333333333333,6.932166666666667,78.92540000000001,20.067833333333333,10718.724035608308,b2,88.81,27.0,[10891.01208593]
6.74,11.7,0.1123333333333333,7.0445,78.858,19.9555,10658.72403560831,b2,88.81,27.0,[10819.83478309]
4.97,11.76,0.0828333333333333,7.1273333333333335,58.447199999999995,19.872666666666667,14394.688128772636,b2,88.81,27.0,[14345.08000229]
4.97,11.75,0.0828333333333333,7.210166666666667,58.397499999999994,19.789833333333338,14334.68812877264,b2,88.81,27.0,[14339.27989723]
4.97,11.75,0.0828333333333333,7.293,58.397499999999994,19.707,14274.688128772636,b2,88.81,27.0,[14266.56144994]
4.97,11.75,0.0828333333333333,7.375833333333333,58.397499999999994,19.624166666666667,14214.688128772636,b2,88.81,27.0,[14223.18244481]
4.96,11.75,0.0826666666666666,7.4585,58.28,19.5415,14183.346774193547,b2,88.81,27.0,[14181.09710857]
